context	payload_bytes	wire	trial	goodput_mbps	pump_mbps	bytes_received	duration_s
loopback	1300	udp	1	1844.4	1862.897229051418	2328622404	10.100353
loopback	1300	tcp	1	2769.7	2798.6591070728305	3498324704	10.104606
loopback	1300	tls	1	2259.2	2282.0318713821	2852540604	10.101015
loopback	1300	ws	1	3942.5	3982.380939368859	4977976904	10.101214
loopback	1300	h2	1	4202.7	7858.249131324951	5306457004	10.101047
loopback	1300	h2s	1	3563.7	7803.750434853828	4499868104	10.101533
loopback	1300	webtransport	1	1068.9	1079.6845149788053	1349608004	10.100475
loopback	1300	udp	2	1852.9	1872.1543436867898	2339392904	10.100324
loopback	1300	tcp	2	2773.1	2801.837381354306	3502297504	10.103640
loopback	1300	tls	2	783.7	791.6199836950741	989526204	10.101372
loopback	1300	ws	2	888.0	896.9634093952754	1121204504	10.101505
loopback	1300	h2	2	635.7	2483.760105380202	803121804	10.106724
loopback	1300	h2s	2	528.3	2430.8844958922623	667074204	10.102006
loopback	1300	webtransport	2	277.6	280.43419248100673	350547604	10.101924
loopback	1300	udp	3	336.3	339.71562345920296	424645004	10.100269
loopback	1300	tcp	3	387.7	391.60410482911175	489505904	10.101335
loopback	1300	tls	3	489.1	494.03698094083734	617546804	10.101330
loopback	1300	ws	3	685.1	691.9127863447726	864891304	10.099491
loopback	1300	h2	3	843.4	3074.511062743666	1064980804	10.102150
loopback	1300	h2s	3	625.2	3135.54463197842	789577104	10.104013
loopback	1300	webtransport	3	215.4	217.5823696154266	271978204	10.101048
